AC No,Constituency,District,Total Voters 2019,Votes Cast 2019,TMC 2019,BJP 2019,Other1 Party 2019,Other1 Votes 2019,Other2 Party 2019,Other2 Votes 2019,Other3 Party 2019,Other3 Votes 2019,Total Voters 2021,Votes Cast 2021,TMC 2021,BJP 2021,Other1 Party 2021,Other1 Votes 2021,Other2 Party 2021,Other2 Votes 2021,Other3 Party 2021,Other3 Votes 2021,Total Voters 2024,Votes Cast 2024,TMC 2024,BJP 2024,Other1 Party 2024,Other1 Votes 2024,Other2 Party 2024,Other2 Votes 2024,Other3 Party 2024,Other3 Votes 2024,Total Voters 2026,Votes Cast 2026,Male 2026,Female 2026,Third Gender 2026,Vote Drop/Margin 21-26,Vote Drop/Margin 24-26
227,Pingla,Paschim Medinipur,245184,216049,99760,98062,CPI,9893,INC,3950,BSP,1297,255054,228669,112435,105779,INC,7103,SUCI,1279.0,,,265243,230183,118627,98714,CPI,8340,BSP,1132,IND,1028,255892,241229,130604,125287,1,-1.89,-0.55
228,Kharagpur,Paschim Medinipur,215957,189189,89677,80210,CPI,10116,INC,2081,AMB,1444,227081,200044,109727,73497,CPI(M),11245,HUMP,1690.0,SUCI,954.0,238876,204461,108911,76673,CPI,10149,IND,4554,SUCI,1391,218142,207279,109810,108328,4,-0.2,-0.09
229,Debra,Paschim Medinipur,226402,194573,80599,84618,CPI,21636,INC,3406,BSP,1057,234184,204866,95850,84624,CPI(M),20723,SUCI,1509.0,IND,807.0,239845,203744,94559,88793,CPI,16187,BSP,1038,IND,1016,231898,215712,116447,115448,3,-0.97,-2.08
230,Daspur,Paschim Medinipur,289255,212190,99246,89306,CPI,17569,INC,2352,BSP,1004,298096,222464,114753,87911,CPI(M),17045,SUCI,1387.0,,,308266,228404,113690,97179,CPI,13487,BSP,975,IND,906,296045,250454,149903,146142,0,-1.04,-1.34
231,Ghatal,Paschim Medinipur,270452,216655,103331,97465,CPI,8156,INC,2871,BSP,1274,279908,225375,104846,105812,CPI(M),10165,SUCI,2008.0,IND,1239.0,288558,227884,109289,104884,CPI,8582,IND,1417,BSP,1193,276569,240228,141189,135380,0,,-2.8
232,Chandrakona,Paschim Medinipur,268273,234203,106800,103169,CPIM,14827,INC,3509,RAJSP,982,279867,249315,121846,110565,RSSCMJP,10801,IND,1670.0,SUCI,1527.0,290111,250370,119878,111843,CPI(M),12899,IND,2746,BSP,581,282820,263419,145000,137820,0,-1.25,-1.62
233,Garbeta,Paschim Medinipur,222893,197067,84517,91328,CPIM,10343,INC,3294,BSP,1535,232046,207681,94928,84356,CPI(M),23042,SUCI,1803.0,IND,833.0,243407,210718,106763,83566,CPI(M),9685,IND,4102,AISF,2298,232881,220701,119647,113233,1,-1.23,-0.43
234,Salboni,Paschim Medinipur,265395,237461,112431,103706,CPIM,11024,INC,2894,BSP,1366,276940,249195,126020,93376,CPI(M),19859,IND,5045.0,AMB,1609.0,289505,251783,132226,93965,CPI(M),14715,IND,5088,BSP,1464,279304,264641,140943,138359,2,-0.47,-0.34
235,Keshpur,Paschim Medinipur,250609,213552,144990,52916,CPI,7297,INC,3363,BSP,1104,261529,230232,116992,96272,CPI(M),13670,,,,,276972,234283,162130,58772,CPI,7947,BSP,1478,IND,1243,268034,252944,139086,128948,0,-1.1,-0.18
236,Medinipur,Paschim Medinipur,266723,225457,93731,110372,CPI,9987,INC,3920,AMB,1497,280060,238898,121175,96778,CPI,12984,AMB,1565.0,SUCI,1500.0,291462,237293,109926,107756,CPI,11183,IND,3555,SUCI,1368,260295,240929,128848,131447,0,-0.08,-1.68
220,Nayagram,Jhargram,218673,183105,80978,84316,CPIM,7305,INC,2260,BSP,1599,226791,192354,100903,78149,CPI(M),5863,BSP,1858.0,IND,1806.0,237323,187190,96788,72523,CPI(M),6246,IND,5782,BSP,2007,226894,205679,116484,110409,1,-0.59,-0.76
221,Gopiballavpur,Jhargram,219464,187894,82205,89034,CPIM,6128,INC,2516,BSP,1639,226417,199070,104115,80347,CPI(M),5819,IND,4738.0,BSP,1260.0,235733,198733,101255,78886,CPI(M),6594,IND,6076,BSP,1809,227793,211301,115030,112763,0,-0.51,-0.56
222,Jhargram,Jhargram,226039,188364,82169,83812,CPIM,9571,INC,2973,JKP(N),1816,236035,201797,109493,71253,CPI(M),10430,IND,3410.0,BSP,1802.0,246403,203423,96608,82507,CPI(M),10448,IND,5825,JKPP,2526,235147,217817,116849,118294,4,-0.42,-1.02
237,Binpur,Jhargram,216607,179450,76197,73138,CPIM,10301,IND,5715,INC,3558,224036,188798,100277,60783,IND,10818,CPI(M),8353.0,BSP,3530.0,232161,189937,94318,70376,CPI(M),8713,IND,6614,JKPP,3393,221125,205690,110250,110873,2,-0.43,-0.66
238,Bandwan,Purulia,272796,227965,95069,98039,CPIM,20707,INC,3217,JKP(N),2585,284840,241055,113337,94506,CPI(M),22204,IND,5067.0,BSP,2987.0,297903,242018,112174,84730,CPI(M),20449,JKPP,11588,IND,6475,285966,264090,145379,140587,0,-1.22,-0.8
239,Balarampur,Purulia,224419,187498,64950,100419,INC,6709,AIFB,5062,IND,3239,238113,197965,89098,89521,INC,8895,APOI,2153.0,SUCI,1793.0,250992,201169,84768,83618,IND,16715,INC,9775,AIFB,1268,235388,218228,122322,113063,3,,-14.83
240,Baghmundi,Purulia,237261,197367,47604,100312,INC,29518,AIFB,10012,IND,3247,249613,206303,75905,0,AJSUP,61936,INC,51046.0,AIFB,11842.0,266737,210992,72153,83393,INC,29589,IND,16073,AIFB,4653,250657,228273,129747,120906,4,-1.57,
241,Joypur,Purulia,236634,194752,56343,88087,INC,26989,AIFB,13369,IND,2741,249621,202767,0,74380,INC,62180,IND,39997.0,AIFB,19413.0,267305,211525,78783,72222,IND,27852,INC,24387,AIFB,3249,253825,231691,132130,121693,2,,-3.07
242,Purulia,Purulia,243871,196318,66252,102749,AIFB,9994,INC,8892,IND,2665,258947,206868,82715,89733,INC,24996,IND,4204.0,SUCI,1209.0,271592,208494,70287,92666,INC,21445,IND,18378,AIFB,1084,251816,228498,128610,123203,3,,
243,Manbazar,Purulia,244314,203256,93897,83314,AIFB,13440,INC,2935,IND,2596,253708,213729,103298,87782,CPI(M),16849,BSP,1905.0,IND,1604.0,265818,211406,95653,80282,INC,16874,IND,12232,AIFB,1696,255460,234333,129457,126002,1,-1.33,-1.49
244,Kashipur,Purulia,227805,187178,74925,91079,AIFB,7368,INC,3741,IND,2618,238871,194892,85551,92938,CPI(M),10927,SUCI,2269.0,AMB,806.0,247248,191791,81834,79968,INC,13513,IND,10414,AIFB,1160,229552,209856,116541,113011,0,,-9.68
245,Para,Purulia,231580,185873,58814,100056,AIFB,9048,INC,5582,IND,3615,243906,194021,83340,87347,CPI(M),13681,IND,2423.0,SUCI,1897.0,255933,193219,75847,84097,INC,12982,IND,12742,SUCI,1390,236120,214893,123039,113081,0,,
246,Raghunathpur,Purulia,248226,203215,67199,109832,CPIM,11972,IND,4983,SHS,1788,259434,214690,90332,95770,CPI(M),14738,IND,4757.0,SUCI,3829.0,273046,211242,91780,91325,CPI(M),14781,IND,4315,SUCI,1617,254023,233498,129612,124410,1,,-48.91
247,Saltora,Bankura,224497,192282,74017,89073,CPIM,14117,IND,7325,BNARP,1448,232517,202413,87503,91648,CPI(M),14084,BMUP,3554.0,SUCI,2261.0,242924,202595,92657,81557,CPI(M),14643,IND,4874,BSP,1602,233175,216876,120047,113128,0,,-1.29
248,Chhatna,Bankura,232894,186929,64479,95661,CPIM,11608,IND,7028,BNARP,1488,242270,196836,83069,90233,RSP,9700,IND,7504.0,BMUP,1838.0,253116,196849,89912,84255,CPI(M),11064,IND,4314,APOI,1221,242151,219389,124236,117915,0,,-3.98
249,Ranibandh,Bankura,244861,203852,78142,93956,CPIM,17002,IND,5662,BNARP,1433,253359,211170,90928,86989,CPI(M),20057,IND,4807.0,SUCI,1633.0,263716,214410,90299,84547,CPI(M),21076,IND,9709,APOI,1766,254570,233695,128697,125873,0,-5.72,-3.35
250,Raipur,Bankura,216034,185822,80423,83774,CPIM,11773,IND,3681,SHS,1197,224604,194476,101043,81645,RSSCMJP,6593,IND,1161.0,SUCI,1048.0,231024,194450,94729,77235,CPI(M),11369,IND,5754,APOI,1028,224120,207714,113171,110949,0,-0.68,-0.76
251,Taldangra,Bankura,225032,190672,70558,87826,CPIM,20908,IND,4589,SHS,1365,233291,203186,92026,79649,CPI(M),23189,IND,3465.0,SUCI,986.0,242320,201370,90790,82307,CPI(M),16525,IND,5487,APOI,1139,235685,216877,120446,115239,0,-1.11,-1.83
252,Bankura,Bankura,257362,204713,65304,112080,CPIM,15519,IND,4890,BNARP,1082,269829,217986,93998,95466,INC,13764,IND,6708.0,SUCI,1720.0,278992,216890,87298,103610,CPI(M),15076,IND,3634,BSP,1158,260886,235632,130714,130172,0,,
253,Barjora,Bankura,243338,207783,80116,91736,CPIM,24114,IND,3086,INC,2302,250729,219452,93290,90021,CPI(M),25235,IND,3472.0,BMUP,1371.0,261460,218831,87529,101567,CPI(M),20410,SUCI,2503,IND,1769,251402,233276,128366,123035,1,-4.23,
254,Onda,Bankura,244131,210147,80415,106788,CPIM,10025,IND,3625,BMUP,2258,256906,225759,93389,104940,AIFB,15613,IND,4442.0,SUCI,984.0,270555,225273,98954,104894,CPI(M),10919,SUCI,3140,IND,1793,262408,244197,134404,128004,0,,
255,Bishnupur,Bankura,208397,180899,66988,89806,CPIM,14557,IND,2375,INC,2238,219284,191469,78269,89689,INC,15814,IND,2278.0,SUCI,1015.0,229304,193974,79683,94725,CPI(M),12653,SUCI,1955,IND,1277,220284,205811,111531,108753,0,,
256,Katulpur,Bankura,237060,211585,88808,97907,CPIM,14972,INC,3146,IND,2013,246785,224123,94237,106022,INC,17757,BSP,2519.0,SUCI,1732.0,255451,224999,98604,104935,CPI(M),14755,SUCI,2175,BSP,1175,253697,237816,129495,124201,1,,
257,Indus,Bankura,234969,206128,84591,98184,CPIM,13082,INC,2513,IND,2474,242938,218453,97716,104936,CPI(M),12619,,,,,249884,219648,106056,96909,CPI(M),9752,SUCI,2208,BSP,1320,245267,230576,124899,120368,0,,-1.19
258,Sonamukhi,Bankura,224381,196517,75148,98983,CPIM,12064,IND,2928,BMUP,2007,233059,207739,87273,98161,CPI(M),15725,SUCI,2772.0,IND,1732.0,241651,208217,89091,100705,CPI(M),10902,SUCI,2069,BSP,1383,235770,219973,120586,115184,0,,
275,Pandabeswar,Paschim Bardhaman,199797,157086,64275,70296,CPIM,11583,INC,2461,BMUP,2407,211960,164291,73922,70119,CPI(M),12196,IND,2781.0,BSP,1137.0,217780,166465,94707,54682,CPI(M),11555,IND,2128,BSP,1198,188390,173583,97444,90945,1,-2.44,-0.18
276,Durgapur Purba,Paschim Bardhaman,244625,193739,63864,90455,CPIM,28297,INC,5586,BSP,1515,256531,192674,79303,75557,CPI(M),29063,IND,3248.0,BSP,1240.0,264339,200372,85390,83697,CPI(M),24669,IND,1409,BSP,1009,237127,213580,118400,118726,1,-5.58,-7.8
277,Durgapur Paschim,Paschim Bardhaman,256653,201052,59642,109153,CPIM,22011,INC,4341,BSP,1484,269303,196902,76522,91186,INC,18030,IND,4827.0,BSP,1228.0,276955,207561,85430,97112,CPI(M),18140,IND,1714,BSP,925,238700,215474,121281,117415,4,,
278,Raniganj,Paschim Bardhaman,238858,183486,61172,92882,CPIM,18436,INC,2713,IND,2065,250813,182211,78164,74608,CPI(M),21688,JD(U),1612.0,BMUP,1609.0,257785,190105,83685,79233,CPI(M),21326,IND,2168,BSP,1158,215994,195302,110971,105021,2,-3.68,-1.17
279,Jamuria,Paschim Bardhaman,208928,161984,57999,76051,CPIM,15549,INC,2488,IND,2365,221419,166703,71002,62951,CPI(M),24818,BSP,2409.0,BMUP,1686.0,232932,171489,77209,65338,CPI(M),22150,IND,2552,BSP,1445,196545,180409,102051,94492,2,-1.7,-0.75
280,Asansol Dakshin,Paschim Bardhaman,258438,195073,57201,111021,CPIM,14394,INC,3126,IND,2696,274245,194737,83394,87881,CPI(M),15972,BSP,2867.0,BMUP,1157.0,284852,204990,84582,96739,CPI(M),16897,IND,2326,BSP,1317,239030,214482,122533,116492,5,,
281,Asansol Uttar,Paschim Bardhaman,256257,195551,77706,98020,CPIM,9843,INC,2878,IND,1744,275796,192907,100931,79821,RSSCMJP,4471,IND,2312.0,AIMIM,1514.0,285879,202629,94825,90458,CPI(M),11772,IND,1827,BSP,883,236858,209122,120386,116471,1,-0.77,-1.49
282,Kulti,Paschim Bardhaman,238421,178078,55825,105176,CPIM,5987,INC,3121,IND,2638,251671,174767,80433,81112,INC,5795,IND,2003.0,BSP,1047.0,257251,186549,79055,94108,CPI(M),7183,IND,2011,BSP,1084,210553,189224,109712,100837,4,,
283,Barabani,Paschim Bardhaman,215166,165974,61406,79281,CPIM,11761,INC,4232,IND,2109,225596,169207,88430,64973,INC,8962,IND,2156.0,SUCI,985.0,235396,174105,89042,63519,CPI(M),14571,IND,2360,BSP,1461,201898,183768,102600,99295,3,-0.62,-0.38
284,Dubrajpur,Birbhum,231245,195949,80954,95466,CPIM,7159,INC,2485,RVNP,2471,241742,204599,94220,98083,AIFB,6014,BMUP,2032.0,BSP,1093.0,252407,208185,102935,84655,INC,10576,IND,3334,SUCI,1023,231503,218956,120292,111210,1,,-0.59
285,Suri,Birbhum,252702,214409,91097,100228,CPIM,10120,INC,4336,RVNP,2198,263557,218590,105871,98551,INC,8267,SUCI,2084.0,BSP,1318.0,272439,225052,106922,94423,INC,14672,IND,2761,APOI,1057,252071,236014,127171,124900,0,-2.38,-0.88
286,Bolpur,Birbhum,259221,222034,106172,90560,CPIM,14076,INC,4675,RVNP,2255,273896,230260,116443,94163,RSP,9965,PRDSEP,1938.0,BSP,1239.0,285141,233236,129462,81115,CPI(M),16202,IND,1056,BSP,929,260112,244037,131040,129064,8,-0.62,-0.22
287,Nanoor,Birbhum,265937,225545,108717,90986,CPIM,14129,INC,4038,RVNP,2406,276777,235328,112116,105446,CPI(M),12878,BSP,2739.0,,,287769,231581,148830,66620,CPI(M),9512,BSP,1109,IND,1015,269082,251484,137576,131502,4,-2.42,-0.24
288,Labpur,Birbhum,230037,202817,94515,90712,CPIM,8217,INC,3284,RVNP,2316,240044,212027,108423,90448,CPI(M),6479,IND,1992.0,BSP,922.0,246267,211870,124031,75648,CPI(M),7231,IND,934,BSP,740,234630,221233,120302,114326,2,-0.51,-0.19
289,Sainthia,Birbhum,246472,215575,96795,97010,CPIM,8041,INC,4858,RVNP,2445,255959,221866,110572,95329,CPI(M),10369,BSP,2098.0,SUCI,1756.0,266895,227264,119460,84223,INC,13308,IND,3380,APOI,1288,251997,239422,127499,124497,1,-1.15,-0.35
290,Mayureswar,Birbhum,223558,191604,85501,87260,CPIM,9773,INC,3917,RVNP,1643,230682,199425,100425,88350,RSSCMJP,5562,BSP,2285.0,,,240511,200446,101634,80882,CPI(M),13052,BSP,967,IND,823,225874,211960,113597,112273,4,-1.04,-0.55
291,Rampurhat,Birbhum,248898,211736,85049,98174,CPIM,13666,INC,5610,RVNP,2084,260812,217323,103276,94804,CPI(M),11707,BAHUMP,1608.0,BSP,1587.0,271645,223900,97579,90618,INC,25609,IND,3343,APOI,1233,245159,231749,121631,123527,1,-1.7,-1.13
292,Hansan,Birbhum,236309,199735,91351,61441,CPIM,20040,INC,19831,RVNP,1888,248113,210606,108289,57676,INC,39815,SUCI,1229.0,BSP,1177.0,259674,210802,94405,55447,INC,52643,IND,2491,AIAM,1328,237273,225220,120644,116625,4,-0.29,-0.37
293,Nalhati,Birbhum,232375,198566,89970,62589,INC,20276,CPIM,19396,RVNP,1856,244837,207696,117438,60533,AIFB,21328,IND,2279.0,BMUP,1586.0,257726,207424,87340,60914,INC,52276,IND,2221,APOI,915,231681,221557,118102,113572,7,-0.24,-0.53
294,Murarai,Birbhum,251211,211153,118210,48807,CPIM,18251,INC,18055,RVNP,2229,263200,217917,146496,48250,INC,17287,SUCI,1857.0,BSP,1640.0,278661,218421,106331,47481,INC,56488,IND,2492,APOI,1206,252004,242125,129432,122571,1,-0.25,-0.48
77,Karimpur,Nadia,241366,206242,87513,73173,INC,22097,CPIM,17609,IND,1554,251039,221506,110911,87336,CPI(M),17185,IND,2005.0,SUCI,1469.0,260373,218980,93329,81006,CPI(M),39716,IND,1439,BLRP,576,252844,238887,130536,122305,3,-0.74,-1.62
78,Tehatta,Nadia,244796,204911,87369,89430,CPIM,18087,INC,5181,IND,1450,252454,218109,97848,90933,CPI(M),23239,BSP,1876.0,IND,1839.0,261821,214810,86233,94589,CPI(M),28459,IND,3256,BSP,811,252431,230545,131243,121184,4,-1.8,
79,Palashipara,Nadia,232409,187582,95195,59135,CPIM,20605,INC,5730,SUCI(C),2771,244867,203385,110274,58938,CPI(M),26228,IND,2905.0,SUCI,1696.0,252634,197580,97667,63567,CPI(M),29364,IND,3317,SUCI,1862,231620,213229,122063,109553,4,-0.19,-0.46
80,Kaliganj,Nadia,234435,194775,99839,62611,CPIM,18932,INC,6492,IND,1899,248358,209379,111696,64709,INC,25076,IND,2419.0,BSP,1567.0,253579,200681,94018,63245,CPI(M),36698,IND,4040,SUCI,683,232460,217164,121552,110905,3,-0.17,-0.54
81,Nakashipara,Nadia,235260,196804,87893,82813,CPIM,15978,INC,4445,IND,1825,247691,209570,104812,83541,IND,11277,CPI(M),5365.0,BSP,1080.0,256405,205350,90441,84342,CPI(M),24373,IND,3579,AISF,807,218669,201175,115752,102914,3,0.39,0.68
82,Chapra,Nadia,237345,195142,104975,55603,CPIM,20324,INC,8178,IND,1594,248014,213175,73866,58168,IND,61748,CPI(M),11722.0,RSSCMJP,3865.0,258821,202797,113538,56663,CPI(M),25084,IND,4104,AISF,1581,232057,208967,123420,108637,0,0.35,-0.11
83,Krishnanagar Uttar,Nadia,230159,196357,62324,115875,CPIM,10506,INC,2409,IND,1729,238220,201805,74268,109357,INC,11407,PMPT,1460.0,IND,1377.0,246385,202109,65568,119038,CPI(M),11848,IND,2973,BSP,737,216456,198966,109610,106841,5,,
84,Nabadwip,Nadia,237432,202229,88421,84357,CPIM,22368,INC,3004,BSP,1016,243159,210589,102170,83599,CPI(M),18540,BSP,1617.0,IND,1183.0,251525,208256,92208,86652,CPI(M),24346,SUCI,1337,IND,1258,230011,214991,118182,111826,3,-0.24,-1.21
85,Krishnanagar Dakshin,Nadia,217294,185760,76057,82781,CPIM,15584,INC,5681,IND,1873,225118,195685,91738,82433,CPI(M),15606,IND,1658.0,BSP,1217.0,232954,192515,77246,86184,CPI(M),23237,IND,3485,BSP,829,209781,194970,109405,100374,2,0.08,
86,Santipur,Nadia,241946,209543,77587,112599,CPIM,11628,INC,3472,BSP,1048,255619,219692,93844,109722,INC,9848,BSP,1294.0,PMPT,1099.0,258315,214564,80876,110823,CPI(M),17526,IND,1874,BSP,1146,227477,211258,118363,109105,9,,
87,Ranaghat Uttar Paschim,Nadia,254878,215193,74568,119000,CPIM,14121,INC,3245,BSP,996,265846,223193,90509,113637,INC,10345,IND,3363.0,BSP,1312.0,267218,219915,81087,115286,CPI(M),17816,IND,1698,SUCI,1291,232716,214820,119177,113531,8,,
88,Krishnaganj,Nadia,264311,221571,83729,121236,CPIM,10131,INC,2052,BSP,1842,273728,231938,96391,117668,CPI(M),10913,BSP,1801.0,PMPT,1380.0,282086,229023,91755,118880,CPI(M),12761,IND,1686,BSP,1508,253036,227353,132520,120515,1,,
89,Ranaghat Uttar Purba,Nadia,253927,203317,73611,116837,CPIM,6633,INC,2449,BSP,1168,264929,214736,85004,116786,RSSCMJP,5204,IND,2293.0,BSP,2117.0,273964,213447,79135,118534,CPI(M),10347,BSP,1641,IND,1625,232399,208206,122368,110022,9,,
90,Ranaghat Dakshin,Nadia,274689,227997,79676,124607,CPIM,13913,INC,4919,BSP,1293,285180,241687,102745,119260,CPI(M),15124,BSP,1666.0,SUCI,1315.0,292695,237831,86632,123568,CPI(M),21219,IND,1876,BSP,1469,253346,230520,130916,122428,2,,
91,Chakdaha,Nadia,235069,199105,71144,101131,CPIM,18668,INC,4037,BSP,1173,245514,212064,87688,99368,CPI(M),17812,IND,3031.0,BNARP,1683.0,251796,208960,80583,104303,CPI(M),18955,IND,1347,BSP,1314,223981,208146,115182,108796,3,,
92,Kalyani,Nadia,245185,205347,86236,93292,CPIM,16893,INC,2848,IND,2091,257683,220338,94820,97026,CPI(M),22165,BSP,1661.0,IND,1416.0,267200,219280,94258,104680,INC,11707,IND,4100,BSP,1410,230489,213571,117783,112699,7,,
93,Haringhata,Nadia,231665,200638,84899,94366,CPIM,13454,INC,2837,IND,2028,240606,210874,82466,97666,CPI(M),24800,IND,2136.0,BSP,1153.0,247269,206776,87769,98538,INC,7258,AISF,6476,IND,4387,225109,211197,116952,108152,5,,
94,Bagda,North 24 Parganas,268570,207954,85283,109740,CPIM,6957,INC,1972,IND,1608,277464,218791,98319,108111,INC,8250,BSP,2240.0,IND,851.0,286228,216798,92090,112704,INC,4839,IND,3389,AISF,1811,240989,215709,126236,114747,6,,
95,Bangaon Uttar,North 24 Parganas,242070,197041,76188,104558,CPIM,9868,INC,2357,IND,1520,251387,205175,87273,97761,CPI(M),14051,IND,2381.0,BSP,1082.0,264506,209954,84818,109848,INC,7066,IND,3717,AISF,2420,225962,209263,116517,109424,21,,
96,Bangaon Dakshin,North 24 Parganas,237407,195491,76628,105156,CPIM,8212,INC,1671,IND,1350,248278,207834,95824,97828,CPI(M),10069,SUCI,953.0,BSP,820.0,260962,210552,89780,108457,INC,4956,IND,3503,AISF,1873,228359,210616,117928,110425,6,,
97,Gaighata,North 24 Parganas,240980,202101,73974,109922,CPIM,11815,INC,2113,IND,1345,252053,213243,91230,100808,CPI,14838,IND,2759.0,BSP,1385.0,263486,218906,88186,115191,INC,7671,IND,3459,AISF,1490,222723,207311,113921,108799,3,,
98,Swarupnagar,North 24 Parganas,238755,195894,92174,68203,CPIM,22797,INC,8754,IND,1435,246109,211804,99784,64984,CPI(M),43282,IND,1677.0,SUCI,821.0,251641,205626,106752,67534,INC,21362,AISF,4279,IND,3851,228965,217517,119447,109516,2,-0.16,-0.3
99,Baduria,North 24 Parganas,235543,200572,96216,56310,INC,29289,CPI,13831,IND,2308,243747,212883,109701,53257,INC,45231,BSP,1278.0,IND,844.0,251768,213485,109296,58734,AISF,20281,CPI(M),18798,IND,4232,236162,225913,122187,113971,4,-0.23,-0.25
100,Habra,North 24 Parganas,234596,194858,77858,97310,AIFB,10115,INC,3047,BSP,1311,242425,204171,90533,86692,CPI(M),21994,BSP,1125.0,IND,1115.0,249860,207186,82156,102089,AIFB,9314,AISF,8336,IND,1685,208822,197128,107658,101156,8,1.83,
101,Ashoknagar,North 24 Parganas,241160,202977,93109,79592,AIFB,19423,INC,4082,BSP,1655,257180,216724,93587,70055,RSSCMJP,45795,IND,2606.0,GMM,1278.0,266951,220672,97801,84707,AISF,21183,AIFB,11322,IND,1854,229506,218054,117314,112185,7,-0.06,0.2
102,Amdanga,North 24 Parganas,230566,195051,98653,62087,CPIM,25352,IND,3554,INC,3233,242462,211742,88935,63455,RSSCMJP,50905,IND,3028.0,BSP,1038.0,251591,213236,104500,69227,CPI(M),16811,AISF,16457,IND,3464,221207,212425,115380,105823,4,-0.03,0.02
103,Bijpur,North 24 Parganas,185513,131884,51016,58912,CPIM,14385,IND,3238,INC,1875,192316,139096,66625,53278,CPI(M),14490,SUCI,1542.0,IND,1056.0,191752,138491,64742,55071,CPI(M),13778,IND,2498,BSP,445,158096,143678,80060,78032,4,-0.34,-0.54
104,Naihati,North 24 Parganas,188562,151375,64375,65601,CPIM,13361,IND,3282,INC,2093,193930,156468,77753,58898,CPI(M),15825,IND,1378.0,BSP,913.0,195761,156278,75390,59872,CPI(M),14925,IND,2659,AISF,632,170581,156082,85321,85251,9,0.02,0.01
105,Bhatpara,North 24 Parganas,149371,109019,34973,64680,CPIM,4524,IND,1961,INC,670,154037,107197,43557,57244,INC,2169,IND,1793.0,BSP,682.0,155742,107013,40621,58084,CPI(M),4592,IND,1460,BSP,381,117195,105651,61817,55375,3,,
106,Jagatdal,North 24 Parganas,222050,174320,69369,77733,CPIM,18138,IND,3967,INC,2012,233871,181287,87030,68666,AIFB,16748,IND,4300.0,BSP,908.0,235746,182511,81963,75979,CPI(M),17473,IND,3153,AISF,666,195630,180899,99648,95971,11,0.02,0.27
107,Noapara,North 24 Parganas,252447,192306,78957,78431,CPIM,24886,INC,3632,IND,3345,262153,192634,94203,67493,INC,23502,IND,2584.0,BSP,1305.0,265175,193164,86737,74878,CPI(M),24497,IND,2512,BSP,956,213727,186199,107095,106628,4,0.24,0.59
108,Barrackpur,North 24 Parganas,207922,148612,60527,64046,CPIM,16708,IND,2559,INC,2269,215356,148249,68887,59665,CPI(M),16145,BSP,970.0,IND,652.0,216334,147126,64533,61073,CPI(M),16962,IND,1787,BSP,581,170646,153274,86097,84548,1,-0.54,-1.78
109,Khardaha,North 24 Parganas,217450,175947,73767,72499,CPIM,20967,INC,3715,BSP,908,232619,183147,89807,61667,CPI(M),26916,IND,1245.0,BSP,1097.0,240672,189456,81000,70028,CPI(M),32719,IND,2699,BSP,677,209855,195207,104991,104857,7,-0.43,-0.52
110,Dum Dum Uttar,North 24 Parganas,256549,208024,83995,78346,CPIM,36343,INC,4216,BSP,881,273015,213149,95465,66966,CPI(M),45728,BNARP,1229.0,BSP,1005.0,282241,216955,86417,80115,CPI(M),45096,IND,2251,BSP,740,240341,221739,118324,122013,4,-0.3,-0.76
111,Panihati,North 24 Parganas,222235,169149,73802,64071,CPIM,22447,INC,4260,BSP,681,230748,174356,86495,61318,INC,21169,BSP,1326.0,SUCI,887.0,230849,171780,71909,59474,CPI(M),35849,IND,1697,BSP,515,189714,173550,93805,95905,4,0.03,-0.14
112,Kamarhati,North 24 Parganas,189029,139098,63356,45631,CPIM,22140,INC,3980,BSP,523,197103,144310,73845,38437,CPI(M),28310,IND,1532.0,PDS,488.0,202418,142409,62011,43211,CPI(M),33082,IND,1854,BSP,464,162646,146398,80693,81947,6,-0.06,-0.21
113,Baranagar,North 24 Parganas,208539,158136,70176,55481,CPIM,24045,INC,3677,BSP,635,217774,160259,85615,50468,INC,20135,IND,1125.0,NRPI,538.0,219056,160363,69427,57450,CPI(M),29572,IND,1264,BSP,401,186541,165257,90690,95847,4,-0.14,-0.41
114,Dum Dum,North 24 Parganas,232748,180291,76526,71414,CPIM,23153,INC,4511,BSP,738,247858,185334,87999,61268,CPI(M),30653,IND,1656.0,BSP,980.0,256345,188456,80289,70698,CPI(M),32714,IND,1670,BSP,575,217541,196222,105629,111908,4,-0.41,-0.81
115,Rajarhat New Town,North 24 Parganas,259086,211271,103343,79700,AIFB,14982,INC,5678,BSP,1369,289075,234906,127374,70942,CPI(M),31543,IND,1878.0,BSP,1137.0,317418,249856,119822,91405,AIFB,15858,AISF,15557,IND,2029,267645,250516,136100,131541,4,-0.28,-0.02
116,Bidhannagar,North 24 Parganas,231175,161532,58956,77872,AIFB,14314,INC,4300,BSP,628,243360,162035,75912,67915,INC,12821,IND,2563.0,BSP,611.0,247850,165711,67727,78883,AIFB,13936,IND,838,BSP,519,203877,175864,98891,104979,7,-1.73,
117,Rajarhat Gopalpur,North 24 Parganas,239646,172462,70085,70828,CPIM,22533,INC,4707,BSP,601,257447,178723,87650,62354,CPI(M),24511,IND,1125.0,SUCI,455.0,269301,185042,75236,75162,CPI(M),30386,IND,1270,BSP,377,218890,189690,106453,112429,8,-0.43,-62.81
118,Madhyamgram,North 24 Parganas,258249,215729,106815,72379,AIFB,24652,INC,4813,BSP,1826,272397,230431,112741,64615,RSSCMJP,46748,BSP,1667.0,IND,869.0,284909,235580,110832,79182,AISF,20216,AIFB,19288,IND,1605,244485,231332,123863,120618,4,-0.02,0.13
